date,time,flight,from,to,airline,aircraft,status,temperature departure,wind speed departure,wind direction departure,scheduled departure,actual departure,delay departure
19-03-2023,10:00,AI234,MAA,CCU,Air India,B737,Delayed,24,4,E,10:15,10:45,0:30
19-03-2023,15:00,VQ101,BLR,HYD,Vistara,A320,On-time,25,3,S,15:30,15:28,0:00
20-03-2023,6:00,IG789,BOM,DEL,IndiGo,A320,On-time,26,4,E,6:30,6:28,0:00
20-03-2023,10:00,AI678,CCU,MAA,Air India,B737,On-time,25,3,N,10:15,10:13,0:00
20-03-2023,15:00,VQ234,HYD,BLR,Vistara,A320,Delayed,24,3,S,15:30,15:45,0:15
21-03-2023,6:00,IG987,DEL,BOM,IndiGo,A320,On-time,25,3,N,6:30,6:28,0:00
21-03-2023,10:00,AI123,MAA,CCU,Air India,B737,On-time,24,4,E,10:15,10:13,0:00
21-03-2023,15:00,VQ567,BLR,HYD,Vistara,A320,On-time,25,3,S,15:30,15:28,0:00
22-03-2023,6:00,IG456,BOM,DEL,IndiGo,A320,On-time,26,3,N,6:30,6:29,0:00
22-03-2023,10:00,AI876,CCU,MAA,Air India,B737,Delayed,25,4,E,10:15,10:30,0:15
22-03-2023,15:00,VQ123,HYD,BLR,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
23-03-2023,6:00,AA111,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
23-03-2023,10:00,SJ222,CCU,MAA,SpiceJet,B737,Delayed,25,4,E,10:15,10:30,0:15
23-03-2023,15:00,AA333,HYD,BLR,AirAsia,A320,On-time,24,3,S,15:30,15:28,0:00
24-03-2023,6:00,IG777,BOM,DEL,IndiGo,A320,On-time,26,3,N,6:30,6:29,0:00
24-03-2023,10:00,AI999,CCU,MAA,Air India,B737,On-time,25,4,E,10:15,10:13,0:00
24-03-2023,15:00,VQ444,BLR,HYD,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
25-03-2023,6:00,AA555,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
25-03-2023,10:00,SJ666,CCU,MAA,SpiceJet,B737,Delayed,25,4,E,10:15,10:30,0:15
25-03-2023,15:00,AA777,HYD,BLR,AirAsia,A320,On-time,24,3,S,15:30,15:28,0:00
26-03-2023,6:00,IG888,DEL,BOM,IndiGo,A320,On-time,25,4,E,6:30,6:28,0:00
26-03-2023,10:00,AI111,MAA,CCU,Air India,B737,Delayed,26,3,N,10:15,10:35,0:20
26-03-2023,15:00,VQ222,HYD,BLR,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
27-03-2023,6:00,AA333,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
27-03-2023,10:00,SJ444,CCU,MAA,SpiceJet,B737,On-time,25,4,E,10:15,10:13,0:00
27-03-2023,15:00,AA666,BLR,HYD,AirAsia,A320,Delayed,24,3,S,15:30,15:45,0:15
28-03-2023,6:00,IG999,DEL,BOM,IndiGo,A320,On-time,25,4,E,6:30,6:28,0:00
28-03-2023,10:00,AI222,MAA,CCU,Air India,B737,On-time,26,3,N,10:15,10:13,0:00
28-03-2023,15:00,VQ555,HYD,BLR,Vistara,A320,Delayed,24,3,S,15:30,15:45,0:15
29-03-2023,6:00,AA777,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
29-03-2023,10:00,SJ111,CCU,MAA,SpiceJet,B737,On-time,25,4,E,10:15,10:13,0:00
29-03-2023,15:00,AA888,BLR,HYD,AirAsia,A320,Delayed,24,3,S,15:30,15:45,0:15
30-03-2023,6:00,IG666,DEL,BOM,IndiGo,A320,On-time,25,5,E,6:30,6:28,0:00
